Parish Name,Website
Guardian Angel Parish,https://guardianangelchurch.org/
St. John Paul II Parish,https://johnpaul2parish.com/
St. Henry Parish,https://sthenryrc.org/
St. Vincent de Paul Parish,http://27932.sites.ecatholic.com/
Blessed Miriam Teresa Demjanovich Parish,https://www.bmtparish.org/
St. Anthony of Padua Parish,https://www.saintanthonybelleville.org/
St. Peter Parish,https://www.spbnj.org/
St. John the Evangelist Parish,https://sjrc.org/
Little Flower Parish,https://www.littleflowerbh.org/
St. Thomas the Apostle Parish,https://www.stachurchbloomfield.org/
St. Valentine Parish,http://www.stvalentinechurch.com/
Sacred Heart Parish,https://www.shcbloomfield.org/
St. Joseph Parish,https://stjosephbogota.org/
St. Aloysius Parish,https://stalscaldwell.org/
St. Catherine of Siena Parish,https://www.scscedargrove.org/
St. Agnes Parish,https://www.stagnesparish.com/
Epiphany Parish,https://www.epiphanyrcchurch.org/
St. Mary Parish,https://stmarycloster.org/
St. Michael Parish,https://stmichaelcranford.org/
St. Therese of Lisieux Parish,https://sttheresecresskill.org/
St. Joseph Parish,http://www.stjosephdemarest.com/
St. Mary Parish,https://stmarysdumont.org/
St. Anthony Parish,Website Not Found
St. Joseph Parish,Website Not Found
Holy Spirit/O.L.Help of Christians Parish,Website Not Found
Holy Name of Jesus Parish,https://www.hnjeo.org/
St. Joseph Parish,https://stjosepher.com/
Holy Rosary Parish,https://holyrosaryedgewater.org/
Holy Rosary/St. Michael Parish,https://www.holyrosarystmichael.com/
Immaculate Conception Parish,https://ic-rcc.org/
Immaculate Heart of Mary/St. Patrick Parish,https://ihmsp.org/
Blessed Sacrament Parish,Website Not Found
St. Anthony of Padua Parish,https://stanthonyelizabeth.com/
St. Genevieve Parish,http://www.stgensrcc.com/
St. Mary of the Assumption Parish,https://stmaryselizabeth.org/en/home/
Our Lady of Fatima Parish,Website Not Found
St. Adalbert/Ss. Peter & Paul Parish,https://www.stadalbert.us/st-adalbert
St. Hedwig Parish,https://sainthedwignj.org/
St. Leo Parish,https://www.stleosep.org/
Assumption Parish,http://www.assumptionemersonnj.org/
St. Cecilia Parish,https://stceciliachurch.com/
St. Anne Parish,https://www.stannefairlawnnj.org/
St. Thomas More Parish,http://www.stmchurch.net/
St. John the Baptist Parish,Website Not Found
Our Lady of Grace Parish,http://www.olgrc.org/
Madonna Parish,https://www.madonnachurch.org/
Holy Trinity Parish,Website Not Found
Most Blessed Sacrament Parish,https://mostblessedsacrament.ws/
St. Stanislaus Kostka Parish,http://ststangarfield.org/index.php/en-us/
Most Holy Name Parish,https://www.mostholynamegarfield.org/
Our Lady of Mount Virgin Parish,https://www.mountvirgin.com/
Church of St. Anne,https://stannegarwood.com/
St. Catharine Parish,https://stcatharinechurch.org/
St. Joseph Parish,http://www.stjosephsnj.org/index.php/en-us/kontakt-2
St. Francis of Assisi Parish,https://stfrancisofassisihackensack.com/
Holy Trinity Parish,https://www.hthackensack.org/
Immaculate Conception Parish,http://www.icchackensack.com/
Our Lady of Victories Parish,https://olvhp.org/contact-us
Holy Cross Parish,https://parishoftheholycross.org/
Our Lady of Czestochowa Parish,Website Not Found
Corpus Christi Parish,https://www.corpuschristihh.org/ccp/
Sacred Heart Parish,https://sacredhearthaworth.com/
St. John the Baptist Parish,https://www.stjohnhillsdale.org/
Christ the King Parish,https://christthekinghillsidenj.org/
St. Catherine of Siena Parish,https://www.stcatherinehillside.com/
St. Luke Parish,https://www.churchofstluke.org/
St. Ann Parish,https://stannhoboken.com/
SS Peter & Paul Parish,https://www.spphoboken.com/
St. Francis of Assisi Parish,https://stfrancishoboken.net/
