ParishID,Reconciliation_Times
0,NA
1,NA
2,"{""Saturdays"": [""9:00 AM - 9:30 AM"",""4:30 PM - 5:15 PM""],""Additional"": ""Confessions will be heard any time at the Rectory. Call 201-436-0857.""}"
3,3:00 PM - 4:00 PM (Saturday) or by appointment
4,Saturdays 4:30 PM to 5:15 PM and/or by appointment
5,NA
6,"{""Saturday"": ""1:00 PM - 2:00 PM""}"
7,"{""Saturday"": ""4:00 PM - 5:00 PM""}"
8,"Saturdays: 1:00 PM, or by appointment"
9,"{""Saturdays"": ""12:45 PM"",""ByAppointment"": true}"
10,"{""Saturday"": ""11:00 AM - 12:00 PM"",""By Appointment"": ""Please call (973) 748-1800""}"
11,"{""Monday"": ""11:30 AM - 11:50 AM"",""Tuesday"": ""11:30 AM - 11:50 AM"",""Wednesday"": ""11:30 AM - 11:50 AM"",""Thursday"": ""11:30 AM - 11:50 AM"",""Friday"": ""11:30 AM - 11:50 AM"",""Saturday"": ""4:00 PM - 4:30 PM""}"
12,Saturday 4:30 PM or By Appointment
13,"{""Saturday"": ""12:00 PM to 1:00 PM""}"
14,NA
15,"{""Regular"": ""4:00 PM - 4:45 PM on Saturdays"",""Private"": ""Available at any time""}"
16,"{""Saturday"": ""4:30 PM \u2013 5:00 PM""}"
17,"{""Thursday"": ""12:30 PM"",""Friday"": ""7:00 AM"",""Saturday"": ""11:00 AM - 12:00 PM""}"
18,"{""Saturday"": ""3:00 PM - 5:00 PM""}"
19,"{""Saturday"": ""4:00 PM - 5:00 PM"",""Sunday"": ""7:30 AM - 8:15 AM""}"
20,"{""Monday"": ""6:30 PM"",""Tuesday"": ""6:30 PM"",""Wednesday"": ""6:30 PM"",""Thursday"": ""6:30 PM"",""Friday"": ""6:30 PM"",""Note"": ""or by appointment""}"
21,"{""Saturday"": ""1:00 PM (until all are heard)""}"
22,NA
23,1:00 PM to 2:00 PM \u2013 Saturdays or Anytime by appointment
24,"{""Date"": ""Dec 10, 2024"",""Time"": ""12:00 PM \u2013 7:00 PM""}"
25,Saturdays 3:30 PM - 4:30 PM
26,NA
27,"{""Monday"": ""9:00 AM - 9:30 AM"",""Saturday"": ""4:45 PM - 5:15 PM, 7:15 PM - 7:45 PM (Korean)""}"
28,"{""Thursday"": ""6:00 PM - 6:50 PM"",""Saturday"": ""4:00 PM - 5:15 PM"",""First Friday of the month"": ""12:30 PM - 1:30 PM and 6:00 PM - 6:50 PM"",""By appointment"": ""Call the rectory""}"
29,NA
30,NA
31,Saturday: 4:00 to 4:30 PM
32,NA
33,"{""HolyCross"": ""Saturdays 3:30 PM - 4:15 PM"",""StAnthony"": ""By Appointment or at Holy Cross""}"
34,"Every Saturday, 4:00 PM - 4:15 PM in the Church"
35,"{""Saturday"": ""2:00 PM - 3:00 PM"",""Weekdays"": ""Following 8:00 AM Mass""}"
36,Every Saturday 4:45 - 5:15 PM
37,"{""Monday"": ""6:00 PM to 6:45 PM"",""Tuesday"": ""6:00 PM to 6:45 PM"",""Wednesday"": ""6:00 PM to 6:45 PM in Portuguese"",""Saturday"": ""5:00 PM to 6:00 PM""}"
38,Saturdays from 1:00 PM - 2:00 PM
39,By appointment via the Parish Office
40,"{""Every Saturday"": ""4:00 PM to 5:00 PM or upon request""}"
41,NA
42,Saturdays from 3:30 PM to 4:30 PM
43,NA
44,Saturdays after 9 AM Mass in the Chapel or call the Parish Office for an appointment.
45,"{""Friday"": [""12:45 PM""]}"
46,Saturday: 9:00 AM - 10:00 AM
47,Saturday 4:00 PM - 5:00 PM
48,"{""Regular"": ""30 minutes before Every Mass (including daily Mass)"",""By Appointment"": ""Any time by appointment. Call 201-433-8500""}"
49,"{""Monday"": [""9:00 AM"",""9:30 AM""],""Tuesday"": [""9:00 AM"",""9:30 AM""],""Wednesday"": [""9:00 AM"",""9:30 AM""],""Thursday"": [""9:00 AM"",""9:30 AM""],""Friday"": [""9:00 AM"",""9:30 AM""],""Saturday"": [""4:00 PM"",""4:30 PM""]}"
50,NA
51,NA
52,NA
53,Every Saturday at 4:30 - 5:00 PM or by appointment
54,"{""Saturday"": ""3:30 PM - 4:30 PM""}"
55,Saturday at 4:00 PM or by personal request
56,"{""Saturday"": ""4:00 PM - 4:30 PM""}"
57,Saturday at 4:00 PM
58,NA
