ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
0,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA
2,5:30 PM,"8:00 AM, 10:00 AM, 12:00 PM",12:00 PM,12:00 PM,12:00 PM,12:00 PM,12:00 PM
3,4:00 PM,"7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM (Spanish)",6:30 AM,6:30 AM,6:30 AM,6:30 AM,6:30 AM
4,5:30 PM,"8:00 AM, 10:30 AM, 12:15 PM","{'Monday': ['7:00 AM', '8:00 AM'], 'Tuesday': ['7:00 AM', '8:00 AM'], 'Wednesday': ['7:00 AM', '8:00 AM'], 'Thursday': ['7:00 AM', '8:00 AM'], 'Friday': '8:00 AM', 'Saturday': '8:00 AM'}","{'Monday': ['7:00 AM', '8:00 AM'], 'Tuesday': ['7:00 AM', '8:00 AM'], 'Wednesday': ['7:00 AM', '8:00 AM'], 'Thursday': ['7:00 AM', '8:00 AM'], 'Friday': '8:00 AM', 'Saturday': '8:00 AM'}","{'Monday': ['7:00 AM', '8:00 AM'], 'Tuesday': ['7:00 AM', '8:00 AM'], 'Wednesday': ['7:00 AM', '8:00 AM'], 'Thursday': ['7:00 AM', '8:00 AM'], 'Friday': '8:00 AM', 'Saturday': '8:00 AM'}","{'Monday': ['7:00 AM', '8:00 AM'], 'Tuesday': ['7:00 AM', '8:00 AM'], 'Wednesday': ['7:00 AM', '8:00 AM'], 'Thursday': ['7:00 AM', '8:00 AM'], 'Friday': '8:00 AM', 'Saturday': '8:00 AM'}","{'Monday': ['7:00 AM', '8:00 AM'], 'Tuesday': ['7:00 AM', '8:00 AM'], 'Wednesday': ['7:00 AM', '8:00 AM'], 'Thursday': ['7:00 AM', '8:00 AM'], 'Friday': '8:00 AM', 'Saturday': '8:00 AM'}"
5,NA,NA,NA,NA,NA,NA,NA
6,"7:00 AM, 9:00 AM, 5:30 PM, 7:00 PM (Spanish)","7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM, 1:15 PM (Spanish)","7:00 AM, 9:00 AM, 6:30 PM (Spanish)","7:00 AM, 9:00 AM, 6:30 PM (Spanish)","7:00 AM, 9:00 AM, 6:30 PM (Spanish)","7:00 AM, 9:00 AM, 6:30 PM (Spanish)","7:00 AM, 9:00 AM, 6:30 PM (Spanish)"
7,9:00 AM,"8:30 AM, 11:30 AM",9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM
8,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM",11:30 AM,11:30 AM,11:30 AM,11:30 AM,11:30 AM
9,NA,NA,"{'Monday': '12:00 PM', 'Tuesday': '12:00 PM', 'Wednesday': '12:00 PM', 'Thursday': '12:00 PM', 'Friday': '12:00 PM', 'Saturday': '12:00 PM'}","{'Monday': '12:00 PM', 'Tuesday': '12:00 PM', 'Wednesday': '12:00 PM', 'Thursday': '12:00 PM', 'Friday': '12:00 PM', 'Saturday': '12:00 PM'}","{'Monday': '12:00 PM', 'Tuesday': '12:00 PM', 'Wednesday': '12:00 PM', 'Thursday': '12:00 PM', 'Friday': '12:00 PM', 'Saturday': '12:00 PM'}","{'Monday': '12:00 PM', 'Tuesday': '12:00 PM', 'Wednesday': '12:00 PM', 'Thursday': '12:00 PM', 'Friday': '12:00 PM', 'Saturday': '12:00 PM'}","{'Monday': '12:00 PM', 'Tuesday': '12:00 PM', 'Wednesday': '12:00 PM', 'Thursday': '12:00 PM', 'Friday': '12:00 PM', 'Saturday': '12:00 PM'}"
