ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
0,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA
3,3:00 PM - 4:00 PM (Saturday) or by appointment,NA,NA,NA,NA,NA,NA
4,Saturdays 4:30 PM to 5:15 PM and/or by appointment,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA
6,1:00 PM - 2:00 PM,NA,NA,NA,NA,NA,NA
7,4:00 PM - 5:00 PM,NA,NA,NA,NA,NA,NA
8,"Saturdays: 1:00 PM, or by appointment",NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA
10,11:00 AM - 12:00 PM,NA,NA,NA,NA,NA,NA
11,4:00 PM - 4:30 PM,NA,11:30 AM - 11:50 AM,11:30 AM - 11:50 AM,11:30 AM - 11:50 AM,11:30 AM - 11:50 AM,11:30 AM - 11:50 AM
12,Saturday 4:30 PM or By Appointment,NA,NA,NA,NA,NA,NA
13,12:00 PM to 1:00 PM,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA
16,4:30 PM – 5:00 PM,NA,NA,NA,NA,NA,NA
17,11:00 AM - 12:00 PM,NA,NA,NA,NA,12:30 PM,7:00 AM
18,3:00 PM - 5:00 PM,NA,NA,NA,NA,NA,NA
19,4:00 PM - 5:00 PM,7:30 AM - 8:15 AM,NA,NA,NA,NA,NA
20,NA,NA,6:30 PM,6:30 PM,6:30 PM,6:30 PM,6:30 PM
21,1:00 PM (until all are heard),NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA
23,1:00 PM to 2:00 PM \u2013 Saturdays or Anytime by appointment,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA
25,Saturdays 3:30 PM - 4:30 PM,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA
27,"4:45 PM - 5:15 PM, 7:15 PM - 7:45 PM (Korean)",NA,9:00 AM - 9:30 AM,NA,NA,NA,NA
28,4:00 PM - 5:15 PM,NA,NA,NA,NA,6:00 PM - 6:50 PM,NA
29,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA
31,Saturday: 4:00 to 4:30 PM,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA
34,"Every Saturday, 4:00 PM - 4:15 PM in the Church",NA,NA,NA,NA,NA,NA
35,2:00 PM - 3:00 PM,NA,Following 8:00 AM Mass,Following 8:00 AM Mass,Following 8:00 AM Mass,Following 8:00 AM Mass,Following 8:00 AM Mass
36,Every Saturday 4:45 - 5:15 PM,NA,NA,NA,NA,NA,NA
