ParishID,Adoration,Confession
0,No,No
1,No,No
2,No,Yes
3,No,Yes
4,Yes,Yes
5,No,No
6,Yes,Yes
7,Yes,Yes
8,No,Yes
9,No,Yes
10,No,Yes
11,Yes,Yes
12,No,Yes
13,Yes,Yes
14,No,No
15,No,Yes
16,Yes,Yes
17,Yes,Yes
18,Yes,Yes
19,No,Yes
20,No,Yes
21,No,Yes
22,No,No
23,No,Yes
24,No,Yes
25,No,Yes
26,No,No
27,Yes,Yes
28,Yes,Yes
29,Yes,No
30,No,No
31,Yes,Yes
32,No,No
33,No,Yes
34,Yes,Yes
35,Yes,Yes
36,Yes,Yes
37,Yes,Yes
38,No,Yes
39,No,Yes
40,Yes,Yes
41,No,No
42,Yes,Yes
43,No,No
44,Yes,Yes
45,Yes,Yes
46,No,Yes
47,Yes,Yes
48,Yes,Yes
49,Yes,Yes
50,No,No
51,No,No
52,No,No
53,Yes,Yes
54,Yes,Yes
55,No,Yes
56,No,Yes
57,Yes,Yes
58,No,No
59,Yes,Yes
60,Yes,Yes
61,Yes,Yes
62,Yes,Yes
63,No,Yes
64,Yes,Yes
65,No,Yes
66,Yes,Yes
67,No,Yes
68,Yes,Yes
69,No,Yes
70,No,No
71,Yes,Yes
72,Yes,Yes
73,Yes,Yes
74,No,Yes
75,No,No
76,No,Yes
77,No,Yes
78,No,No
79,Yes,Yes
80,No,Yes
81,No,No
82,Yes,Yes
83,No,No
84,Yes,Yes
85,No,Yes
86,No,Yes
87,No,No
88,Yes,Yes
89,Yes,Yes
90,Yes,Yes
91,Yes,No
92,Yes,Yes
93,Yes,Yes
94,Yes,Yes
95,No,Yes
96,No,No
97,No,No
98,No,Yes
99,No,Yes
100,Yes,Yes
101,Yes,Yes
102,Yes,Yes
103,Yes,Yes
104,No,No
105,Yes,Yes
106,No,No
107,No,No
108,No,Yes
109,No,Yes
110,No,Yes
111,Yes,Yes
112,No,No
113,No,No
114,No,Yes
115,Yes,Yes
116,No,Yes
117,Yes,No
118,No,No
119,No,Yes
120,No,Yes
121,No,Yes
122,Yes,Yes
123,Yes,Yes
124,No,No
125,No,Yes
126,No,No
127,Yes,Yes
128,No,Yes
129,No,Yes
130,Yes,Yes
131,No,Yes
132,No,Yes
133,No,No
134,No,No
135,No,Yes
136,Yes,Yes
137,No,Yes
138,Yes,Yes
139,No,Yes
140,Yes,Yes
141,No,No
142,No,Yes
143,No,Yes
144,No,No
145,No,No
146,Yes,Yes
147,No,Yes
148,No,Yes
149,Yes,Yes
150,Yes,Yes
151,Yes,Yes
152,No,Yes
153,No,No
154,No,No
155,No,Yes
156,Yes,Yes
157,No,Yes
158,Yes,Yes
159,Yes,Yes
160,Yes,Yes
161,No,Yes
