ParishID,Adoration_Times,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,Tuesday starting 8:30 AM & ending with benediction at 12:00 PM,,,,8:30 AM,,,
5,,,,,,,,
6,"{""Tuesday"": ""12:00 PM - 6:30 PM"",""Wednesday"": ""12:00 PM - 6:30 PM"",""Thursday"": ""12:00 PM - 6:30 PM"",""First Friday"": ""8:00 PM - 6:45 AM (next day)"",""Last Monday of the month"": ""8:00 PM (Spanish)""}",,,12:00 PM - 6:30 PM,12:00 PM - 6:30 PM,12:00 PM - 6:30 PM,12:00 PM - 6:30 PM,12:00 PM - 6:30 PM
7,"{""First Fridays"": {""2024"": [""Jul 5"",""Aug 2"",""Sep 6"",""Oct 4"",""Nov 1"",""Dec 6""],""2025"": [""Jan 3"",""Feb 7"",""Mar 7"",""Apr 4"",""May 2"",""Jun 6"",""Jul 4"",""Aug 1"",""Sep 5"",""Oct 3"",""Nov 7"",""Dec 5""]}}",,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,"{""Monday"": ""8:30 AM - 9:30 AM"",""Tuesday"": ""8:30 AM - 9:30 AM"",""Wednesday"": ""8:30 AM - 9:30 AM"",""Thursday"": ""8:30 AM - 9:30 AM"",""Friday"": ""8:30 AM - 9:30 AM"",""Saturday"": ""8:30 AM - 9:30 AM""}",8:30 AM - 9:30 AM,,8:30 AM - 9:30 AM,8:30 AM - 9:30 AM,8:30 AM - 9:30 AM,8:30 AM - 9:30 AM,8:30 AM - 9:30 AM
12,,,,,,,,
13,"{""1st Friday"": ""11:00 AM to 1:00 PM""}",,,,,,,11:00 AM - 1:00 PM
14,,,,,,,,
15,,,,,,,,
16,"{""First Friday"": ""7:00 PM \u2013 10:00 PM""}",,,,,,,7:00 PM
17,"{""Thursday"": ""12:30 PM"",""Friday"": ""7:00 AM""}",,,,,,12:30 PM,12:30 PM
18,"{""Monday"": ""12:00 PM - 3:00 PM"",""Wednesday"": ""12:00 PM - 3:00 PM"",""Friday"": ""12:00 PM - 3:00 PM""}",,,12:00 PM - 3:00 PM,,12:00 PM - 3:00 PM,,12:00 PM - 3:00 PM
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,"{""Saturday"": ""6:30 PM""}",6:30 PM,,,,,,
28,"{""Monday to Saturday"": ""7:00 AM - 7:00 PM"",""Closed"": ""Thursdays 6:00 PM - 7:00 PM and the first Fridays of the month from 12:30 PM - 7:00 PM""}",7:00 AM,,7:00 AM,,,7:00 AM,7:00 AM
29,"{""Eucharistic Adoration"": ""7:00 PM (1st Wednesday of every month)""}",,,,,7:00 PM,,
30,,,,,,,,
