ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
ParishID,,,,,,,
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,3:00 PM - 4:00 PM,,,,,,
4,4:30 PM - 5:15 PM,,,,,,
5,,,,,,,
6,1:00 PM - 2:00 PM,,,,,,
7,4:00 PM - 5:00 PM,,,,,,
8,1:00 PM,,,,,,
9,,,,,,,
10,11:00 AM - 12:00 PM,,,,,,
11,4:00 PM - 4:30 PM,,11:30 AM - 11:50 AM,11:30 AM - 11:50 AM,11:30 AM - 11:50 AM,11:30 AM - 11:50 AM,11:30 AM - 11:50 AM
12,4:30 PM,,,,,,
13,12:00 PM - 1:00 PM,,,,,,
14,,,,,,,
15,,,,,,,
16,4:30 PM - 5:00 PM,,,,,,
17,11:00 AM - 12:00 PM,,,,,12:30 PM,7:00 AM
18,3:00 PM - 5:00 PM,,,,,,
19,4:00 PM - 5:00 PM,7:30 AM - 8:15 AM,,,,,
20,,,6:30 PM,6:30 PM,6:30 PM,6:30 PM,6:30 PM
21,1:00 PM,,,,,,
22,,,,,,,
23,1:00 PM - 2:00 PM,,,,,,
24,,,,,,,
25,3:30 PM - 4:30 PM,,,,,,
26,,,,,,,
27,4:45 PM - 5:15 PM,,9:00 AM - 9:30 AM,,,,
28,4:00 PM - 5:15 PM,,,,,6:00 PM - 6:50 PM,
29,,,,,,,
30,,,,,,,
31,4:30 PM,,,,,,
32,,,,,,,
33,,,,,,,
34,4:00 PM - 4:15 PM,,,,,,
35,2:00 PM - 3:00 PM,,8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM
36,5:15 PM,,,,,,
37,5:00 PM - 6:00 PM,,6:00 PM - 6:45 PM,6:00 PM - 6:45 PM,6:00 PM - 6:45 PM,,
38,1:00 PM - 2:00 PM,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,3:30 PM - 4:30 PM,,,,,,
43,,,,,,,
44,9 AM,,,,,,
45,,,,,,,12:45 PM
46,9:00 AM - 10:00 AM,,,,,,
47,4:00 PM - 5:00 PM,,,,,,
48,,,,,,,
49,4:00 PM,,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,5:00 PM,,,,,,
54,3:30 PM - 4:30 PM,,,,,,
55,4:00 PM,,,,,,
56,4:00 PM - 4:30 PM,,,,,,
57,4:00 PM,,,,,,
58,,,,,,,
59,3:00 PM - 3:45 PM,,,,,,
60,9:00 AM - 12:00 PM,,4:00 PM - 4:45 PM,,5:30 PM - 7:00 PM,,4:00 PM - 4:45 PM
61,,,,,,,
62,1:00 PM - 2:00 PM,,,,,,
63,3:00 PM - 3:45 PM,,,,,,
64,4:00 PM - 4:45 PM,,,,,,
65,4:00 PM,,,,,,
66,4:00 PM,,,,,,
67,3:30 PM - 4:15 PM,,,,,,
68,,,,,,,
69,,09:30 AM - 09:50 AM,,,,,
70,,,,,,,
71,,,,,,,
72,4:15 PM,,,,,,
73,,6:00 PM - 6:40 PM,,,,8:30 PM - 9:30 PM,9:00 AM - 10:00 AM
74,3:30 PM,,,,,,
75,,,,,,,
76,4:30 PM,,,,,,
77,4:00 PM,9:30 AM,,,,,
78,,,,,,,
79,4:00 PM,,,,,,
80,4:00 PM - 4:30 PM,,,,,,
81,,,,,,,
82,5:00 PM,,,,,,
83,,,,,,,
84,4:30 PM - 5:00 PM,,,,,,
85,5:30 PM,,,,,,
86,,,10:00 AM - 11:30 AM,10:00 AM - 11:30 AM,,10:00 AM - 11:30 AM,10:00 AM - 11:30 AM
87,,,,,,,
88,7:00 AM - 7:25 AM,8:30 AM - 8:55 AM,7:00 AM - 7:25 AM,7:00 AM - 7:25 AM,7:00 AM - 7:25 AM,7:00 AM - 7:25 AM,7:00 AM - 7:25 AM
89,3:00 PM - 4:00 PM,9:00 AM - 10:00 AM,,,,,
90,,,,1:00 PM - 5:00 PM,1:00 PM - 5:00 PM,,
91,,,,,,,
92,4:00 PM - 4:45 PM,,,,,,
93,4:00 PM,,,,,,
94,3:45 PM - 4:45 PM,,,,,,
