ParishID,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Language
0,,,,,,,,English
1,,,,,,,,English
2,5:30 PM,"8:00 AM, 10:00 AM, 12:00 PM",12:00 PM,12:00 PM,12:00 PM,12:00 PM,12:00 PM,English
3,4:00 PM,"7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM",6:30 AM,6:30 AM,6:30 AM,6:30 AM,6:30 AM,"English, Spanish"
4,5:30 PM,"8:00 AM, 10:30 AM, 12:15 PM","7:00 AM, 8:00 AM","7:00 AM, 8:00 AM","7:00 AM, 8:00 AM","7:00 AM, 8:00 AM",8:00 AM,English
5,,,,,,,,English
6,"7:00 AM, 9:00 AM, 5:30 PM, 7:00 PM","7:30 AM, 9:00 AM, 10:30 AM, 12:00 PM, 1:15 PM","7:00 AM, 9:00 AM, 6:30 PM","7:00 AM, 9:00 AM, 6:30 PM","7:00 AM, 9:00 AM, 6:30 PM","7:00 AM, 9:00 AM, 6:30 PM","7:00 AM, 9:00 AM, 6:30 PM","English, Spanish"
7,9:00 AM,"8:30 AM, 11:30 AM",9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,English
8,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM",11:30 AM,11:30 AM,11:30 AM,11:30 AM,11:30 AM,English
9,,,12:00 PM,12:00 PM,12:00 PM,12:00 PM,12:00 PM,English
10,5:00 PM,"8:30 AM, 10:30 AM, 12:30 PM","8:00 AM, 12:10 PM",,"8:00 AM, 12:10 PM",,,English
11,"5:00 PM, 5:00 PM, 5:30 PM, 12:00 AM, 4:30 PM, 6:30 PM, 8:00 AM","5:00 PM, 8:00 AM, 10:00 AM, 12:00 PM, 9:00 AM, 9:30 AM, 7:30 AM, 5:00 PM, 6:00 PM","8:00 AM, 8:00 AM, 8:30 AM, 12:00 PM, 6:30 PM, 8:00 PM","8:00 AM, 8:00 AM, 8:30 AM, 7:00 PM","8:00 AM, 8:00 AM, 8:30 AM","8:00 AM, 8:00 AM, 8:30 AM, 7:00 PM, 8:00 PM","8:00 AM, 8:00 AM, 8:30 AM","English, Spanish"
12,5:30 PM,"7:30 AM, 9:30 AM, 11:30 AM",8:00 AM,8:00 AM,8:00 AM,8:00 AM,,English
13,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM",,,,,,English
14,,,,,,,,English
15,5:30 PM,"7:45 AM, 10:00 AM",7:00 AM,7:00 AM,7:00 AM,7:00 AM,7:00 AM,English
16,5:30 PM,"9:00 AM, 11:30 AM",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,English
17,5:00 PM,"8:00 AM, 10:00 AM, 12:00 PM, 1:30 PM",,,,,,"English, Spanish"
18,5:30 PM,"8:00 AM, 11:00 AM, 12:30 PM",8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 AM,"English, Spanish"
19,"5:00 PM, 6:30 PM","8:30 AM, 10:00 AM, 11:30 AM, 1:00 PM","5:30 PM, 6:00 PM, 7:00 PM, 7:00 PM","5:30 PM, 6:00 PM, 7:00 PM, 7:00 PM","5:30 PM, 6:00 PM, 7:00 PM, 7:00 PM","5:30 PM, 6:00 PM, 7:00 PM, 7:00 PM","5:30 PM, 6:00 PM, 7:00 PM, 7:00 PM","English, French, Spanish"
20,6:00 PM,"8:30 AM, 10:00 AM, 12:30 PM",7:00 PM,7:00 PM,7:00 PM,7:00 PM,7:00 PM,English
