pkParish,Parish,Website,Address,Email,PhoneNumber,ArchdioceseID
0,,parish_link,,,,0
1,St. John Paul II Parish Church of Our Lady of Mount Carmel,https://www.johnpaul2parish.com/,"39 East 22nd Street, Bayonne, New Jersey 07002, United States",stjp2church@gmail.com,(201) 339-2070,0
2,Saint Henry R.C. Church,https://www.sthenryrc.org/,"82 West 29th Street, Bayonne, NJ 07002",sthenryrc@optonline.net,(201) 436-0857,0
3,Bl. Miriam Teresa Demjanovich Parish,https://www.bmtparish.org/,"326 Avenue C, Bayonne, NJ",,(201) 437-4090,0
4,St. Anthony of Padua Church,https://www.saintanthonybelleville.org/,"63 Franklin Street (Silver Lake), Belleville, NJ 07109",saintanthonybelleville@gmail.com,(973) 481-1991,0
5,Saint Peter's R.C. Church,https://www.spbnj.org/,"155 William Street, Belleville, New Jersey 07109",parish@spbnj.org,(973) 751-2002,0
6,St. John the Evangelist,https://www.sjrc.org/,"29 N Washington Avenue, Bergenfield, NJ 07621",,(201) 384-0101,0
7,Church of the Little Flower,https://www.littleflowerbh.org/,"310 Plainfield Avenue, Berkeley Heights, NJ 07922",Adoration.lf@gmail.com,(908) 464-1585,0
8,St. Thomas the Apostle Church,https://www.stachurchbloomfield.org/,"60 Byrd Avenue, Bloomfield, NJ 07003",secretary@stachurchbloomfield.org,(973) 338-9190,0
9,St. Valentine Church,https://www.stvalentinechurch.com/,"125 North Spring Street, Bloomfield, NJ 07003",stvalentinechurch@yahoo.com,(973) 743-0220,0
10,Sacred Heart Church,https://www.shcbloomfield.org/,,,(973) 748-1800,0
11,St. Joseph Church,https://www.stjosephbogota.org/,"115 East Fort Lee Rd, Bogota, NJ 07603",mychurch@stjosephbogota.org,(201) 342-6300,0
12,St. Agnes,https://www.stagnesparish.com/,"332 Madison Hill Road, Clark, NJ 07066",stagneschurch@comcast.net,(732) 388-7852,0
13,Church of the Epiphany,https://www.epiphanyrcchurch.org/,"247 KNOX AVENUE, CLIFFSIDE PARK, NJ 07010",,(201) 943-7320,0
14,St. Joseph Roman Catholic Church,https://www.stjosephdemarest.com/,"573 Piermont Road, Demarest, New Jersey 07627",stjosephdemarest@gmail.com,(201) 768-2371,0
15,St. Mary's,https://www.stmarysdumont.org/,"280 Washington Ave., Dumont, NJ 07628","{""General"": ""info@stmarysdumont.org"",""Confirmation"": ""bill@stmarystdumont.org"",""AdultConfirmation"": ""kathy@stmarysdumont.org""}",(201) 384-0557,0
16,Holy Name of Jesus,https://www.hnjeo.org/,"184 Midland Avenue, East Orange, NJ 07017",info@hnjeo.org,(973) 675-4444,0
17,St. Joseph\u2019s Church,https://www.stjosepher.com/,"120 Hoboken Rd, E. Rutherford, NJ 07073",stjosepher@aol.com,(201) 939-0457,0
18,Church of the Holy Rosary,https://www.holyrosaryedgewater.org/,"365 Undercliff Ave, Edgewater, NJ 07020",holyrosary@aol.com,(201) 945-6329,0
19,Our Lady of the Most Holy Rosary & St. Michael's Church,https://www.holyrosarystmichael.com/,"52 Smith Street, Elizabeth, NJ 07201",holyrsmc16@gmail.com,(908) 354-2454,0
20,Immaculate Heart of Mary & St. Patrick,https://www.ihmsp.org/,"215 Court Street, Elizabeth, NJ 07206",ihofmstpatrick@gmail.com,,0
21,St. Genevieve Church,https://www.stgensrcc.com/,"200 Monmouth Road, Elizabeth, NJ 07208",bbaldwinart@gmail.com,(908) 351-4444,0
22,St. Mary of the Assumption,https://www.stmaryselizabeth.org/en/home/,"155 Washington Avenue, Elizabeth, NJ 07202",info@stmaryselizabeth.org,(908) 352-5154,0
23,St. Leo\u2019s Catholic Community,https://www.stleosep.org/,"324 Market Street, Elmwood Park, NJ 07407",,(201) 796-3521,0
24,Saint Anne,https://www.stannefairlawnnj.org/,"15-05 Saint Anne Street Fair Lawn, NJ 07410",admin@stannefairlawnnj.org,(201) 791-1616,0
25,Saint Thomas More R.C. Church,https://www.stmchurch.net/,"12 Hollywood Avenue, Fairfield, NJ 07004",stmparishoffice@gmail.com,,0
26,Our Lady of Grace,https://www.olgrc.org/,"395 Delano Place, Fairview, NJ 07022",,(201) 943-0904,0
27,Madonna Church,https://www.madonnachurch.org/,"340 Main Street, Fort Lee, NJ 07024",info@madonnachurch.org,(201) 940-2727,0
28,Most Holy Name Church,https://www.mostholynamegarfield.org/,"99 Marsellus Place, Garfield, NJ 07026",mhnrectory@gmail.com,(973) 340-0032,0
29,Church of Saint Anne,https://www.stannegarwood.com/,"325 Second Ave, Garwood, NJ 07027, US",stannegarwood@gmail.com,(908) 789-0280,0
30,St. Joseph's R.C. Church,https://www.stjosephsnj.org/index.php/en-us/kontakt-2,"460 Hudson St, Hackensack, NJ 07601",stjoseph10@verizon.net,(201) 440-3224,0
31,IMMACULATE CONCEPTION CHURCH,https://www.icchackensack.com/,"49 Vreeland Avenue, Hackensack NJ 07601",immcon@verizon.net,(201) 440-2798,0
32,Our Lady of Victories R.C. Church,https://www.olvhp.org/contact-us,"{""Church"": ""150 Harriot Avenue, Harrington Park, NJ 07640"",""Rectory"": ""81 Lynn Street, Harrington Park, NJ 07640""}",olvrectory.hp@gmail.com,(201) 768-1706,0
33,Holy Cross Parish,https://www.parishoftheholycross.org/,"16 Church Square, Harrison, NJ 07029",admin@holycrossharrison.org,(973) 484-5678,0
